Month,Industries_luok,Information,value,year
2003M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6,2003
2003M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",33,2003
2003M01,Construction,"Bankruptcies instigated, number of enterprises",28,2003
2003M01,Trade,"Bankruptcies instigated, number of enterprises",32,2003
2003M01,Transport and storage,"Bankruptcies instigated, number of enterprises",17,2003
2003M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16,2003
2003M01,Other service activities,"Bankruptcies instigated, number of enterprises",40,2003
2003M01,Industry unknown,"Bankruptcies instigated, number of enterprises",26,2003
2003M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8,2003
2003M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",40,2003
2003M02,Construction,"Bankruptcies instigated, number of enterprises",46,2003
2003M02,Trade,"Bankruptcies instigated, number of enterprises",36,2003
2003M02,Transport and storage,"Bankruptcies instigated, number of enterprises",20,2003
2003M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21,2003
2003M02,Other service activities,"Bankruptcies instigated, number of enterprises",54,2003
2003M02,Industry unknown,"Bankruptcies instigated, number of enterprises",21,2003
2003M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7,2003
2003M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",36,2003
2003M03,Construction,"Bankruptcies instigated, number of enterprises",44,2003
2003M03,Trade,"Bankruptcies instigated, number of enterprises",43,2003
2003M03,Transport and storage,"Bankruptcies instigated, number of enterprises",12,2003
2003M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12,2003
2003M03,Other service activities,"Bankruptcies instigated, number of enterprises",60,2003
2003M03,Industry unknown,"Bankruptcies instigated, number of enterprises",29,2003
2003M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3,2003
2003M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29,2003
2003M04,Construction,"Bankruptcies instigated, number of enterprises",47,2003
2003M04,Trade,"Bankruptcies instigated, number of enterprises",47,2003
2003M04,Transport and storage,"Bankruptcies instigated, number of enterprises",23,2003
2003M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13,2003
