TIME_PERIOD,OBS_VALUE,year
2003-01,2.7045455,2003
2003-02,2.50355,2003
2003-03,2.4111905,2003
2003-04,2.44695,2003
2003-05,2.2520952,2003
2003-06,2.0136667,2003
2003-07,2.076087,2003
2003-08,2.278619,2003
2003-09,2.2575909,2003
2003-10,2.3025217,2003
2003-11,2.41035,2003
2003-12,2.3807619,2003
2004-01,2.2162857,2004
2004-02,2.16305,2004
2004-03,2.0550435,2004
2004-04,2.16265,2004
2004-05,2.2974286,2004
2004-06,2.4044091,2004
2004-07,2.3610455,2004
2004-08,2.302,2004
2004-09,2.3770455,2004
2004-10,2.3160952,2004
2004-11,2.3283182,2004
2004-12,2.3010435,2004
2005-01,2.3120952,2005
2005-02,2.31,2005
2005-03,2.3347619,2005
2005-04,2.2650952,2005
2005-05,2.1932727,2005
2005-06,2.1028182,2005
2005-07,2.168,2005
2005-08,2.2228696,2005
2005-09,2.2195,2005
2005-10,2.4135714,2005
2005-11,2.6843636,2005
2005-12,2.7832857,2005
2006-01,2.8334545,2006
2006-02,2.91415,2006
2006-03,3.1053478,2006
2006-04,3.2214444,2006
2006-05,3.3078182,2006
2006-06,3.4005455,2006
2006-07,3.538619,2006
2006-08,3.6151304,2006
2006-09,3.7153333,2006
2006-10,3.7991818,2006
2006-11,3.8636818,2006
2006-12,3.9208947,2006
2007-01,4.0644091,2007
2007-02,4.09355,2007
2007-03,4.1055455,2007
2007-04,4.2526842,2007
2007-05,4.3731364,2007
2007-06,4.5054762,2007
2007-07,4.5638182,2007
2007-08,4.6663478,2007
2007-09,4.7245,2007
2007-10,4.6466522,2007
2007-11,4.6072273,2007
2007-12,4.7929474,2007
2008-01,4.4980455,2008
2008-02,4.3488571,2008
2008-03,4.5900526,2008
2008-04,4.8199091,2008
2008-05,4.9938095,2008
2008-06,5.3608095,2008
2008-07,5.3932174,2008
2008-08,5.3230476,2008
2008-09,5.3839091,2008
2008-10,5.2478261,2008
2008-11,4.3504,2008
2008-12,3.452,2008
2009-01,2.621619,2009
2009-02,2.1354,2009
2009-03,1.9089091,2009
2009-04,1.771,2009
2009-05,1.64445,2009
2009-06,1.6104545,2009
2009-07,1.4119565,2009
2009-08,1.3342857,2009
2009-09,1.2610455,2009
2009-10,1.2426364,2009
2009-11,1.2305714,2009
2009-12,1.2424091,2009
2010-01,1.23215,2010
2010-02,1.2252,2010
2010-03,1.2151304,2010
2010-04,1.22515,2010
2010-05,1.2493333,2010
2010-06,1.2813182,2010
2010-07,1.3733636,2010
2010-08,1.4210455,2010
2010-09,1.4204545,2010
2010-10,1.495381,2010
2010-11,1.5405,2010
2010-12,1.526087,2010
2011-01,1.5499524,2011
2011-02,1.714,2011
2011-03,1.924087,2011
2011-04,2.0855789,2011
2011-05,2.1471364,2011
2011-06,2.1441364,2011
2011-07,2.1826667,2011
2011-08,2.096913,2011
2011-09,2.0669091,2011
2011-10,2.1101429,2011
2011-11,2.0439091,2011
2011-12,2.0035238,2011
2012-01,1.8366364,2012
2012-02,1.6783333,2012
2012-03,1.4985,2012
2012-04,1.3678421,2012
2012-05,1.2660455,2012
2012-06,1.2190476,2012
2012-07,1.0608182,2012
2012-08,0.8766087,2012
2012-09,0.73985,2012
2012-10,0.650087,2012
2012-11,0.5879091,2012
2012-12,0.5492778,2012
2013-01,0.5753182,2013
2013-02,0.59415,2013
2013-03,0.54495,2013
2013-04,0.5284286,2013
2013-05,0.4837727,2013
2013-06,0.50705,2013
2013-07,0.5253913,2013
2013-08,0.5423182,2013
2013-09,0.5434286,2013
2013-10,0.5409565,2013
2013-11,0.506381,2013
2013-12,0.5425,2013
2014-01,0.5621364,2014
2014-02,0.549,2014
2014-03,0.5772857,2014
2014-04,0.60395,2014
2014-05,0.5922857,2014
2014-06,0.5127143,2014
2014-07,0.4875217,2014
2014-08,0.4690952,2014
2014-09,0.3623182,2014
2014-10,0.3376087,2014
2014-11,0.3347,2014
2014-12,0.3285238,2014
2015-01,0.2981905,2015
2015-02,0.25505,2015
2015-03,0.2123636,2015
2015-04,0.18045,2015
2015-05,0.1654211,2015
2015-06,0.1630455,2015
2015-07,0.1672609,2015
2015-08,0.1612857,2015
2015-09,0.1535909,2015
2015-10,0.1279091,2015
2015-11,0.0789048,2015
2015-12,0.0589091,2015
2016-01,0.04235,2016
2016-02,-0.0078571,2016
2016-03,-0.012381,2016
2016-04,-0.0097619,2016
2016-05,-0.0125909,2016
2016-06,-0.028,2016
2016-07,-0.0560476,2016
2016-08,-0.0483043,2016
2016-09,-0.0570909,2016
2016-10,-0.0687619,2016
2016-11,-0.0740455,2016
2016-12,-0.0804286,2016
2017-01,-0.0945,2017
2017-02,-0.1059,2017
2017-03,-0.1096087,2017
2017-04,-0.119,2017
2017-05,-0.1272273,2017
2017-06,-0.1490909,2017
2017-07,-0.1540952,2017
2017-08,-0.1563478,2017
2017-09,-0.1682857,2017
2017-10,-0.1797727,2017
2017-11,-0.1889545,2017
2017-12,-0.1897368,2017
2018-01,-0.1886818,2018
2018-02,-0.19125,2018
2018-03,-0.191,2018
2018-04,-0.1897,2018
2018-05,-0.188,2018
2018-06,-0.1814762,2018
2018-07,-0.1795455,2018
2018-08,-0.1692609,2018
2018-09,-0.1662,2018
2018-10,-0.1538261,2018
2018-11,-0.1474091,2018
2018-12,-0.1286842,2018
2019-01,-0.1158636,2019
2019-02,-0.1084,2019
2019-03,-0.1087619,2019
2019-04,-0.1122,2019
2019-05,-0.1339091,2019
2019-06,-0.19025,2019
2019-07,-0.2833043,2019
2019-08,-0.3562727,2019
2019-09,-0.3391429,2019
2019-10,-0.3042174,2019
2019-11,-0.2719524,2019
2019-12,-0.2614,2019
2020-01,-0.2534091,2020
2020-02,-0.2881,2020
2020-03,-0.2656364,2020
2020-04,-0.1082,2020
2020-05,-0.08135,2020
2020-06,-0.1474545,2020
2020-07,-0.2788696,2020
2020-08,-0.3589048,2020
2020-09,-0.4145909,2020
2020-10,-0.466,2020
2020-11,-0.480619,2020
2020-12,-0.4966364,2020
2021-01,-0.5047,2021
2021-02,-0.50085,2021
2021-03,-0.4867391,2021
2021-04,-0.4835,2021
2021-05,-0.480619,2021
2021-06,-0.4838636,2021
2021-07,-0.4907273,2021
2021-08,-0.4982273,2021
2021-09,-0.4923182,2021
2021-10,-0.4767619,2021
2021-11,-0.487,2021
2021-12,-0.5019565,2021
2022-01,-0.4766667,2022
2022-02,-0.33525,2022
2022-03,-0.2373913,2022
2022-04,0.0130526,2022
2022-05,0.2865909,2022
2022-06,0.8522273,2022
2022-07,0.9915238,2022
2022-08,1.2494783,2022
2022-09,2.233,2022
2022-10,2.629381,2022
2022-11,2.8283182,2022
2022-12,3.0181429,2022
2023-01,3.3370455,2023
2023-02,3.5336,2023
2023-03,3.6466087,2023
2023-04,3.7565556,2023
2023-05,3.8622273,2023
2023-06,4.0072727,2023
2023-07,4.1490476,2023
2023-08,4.0729565,2023
2023-09,4.1491905,2023
2023-10,4.16,2023
2023-11,4.0220909,2023
2023-12,3.6791053,2023
2024-01,3.6092273,2024
2024-02,3.6705238,2024
2024-03,3.71785,2024
2024-04,3.7033333,2024
2024-05,3.6801364,2024
2024-06,3.6496,2024
2024-07,3.525913,2024
2024-08,3.1661364,2024
2024-09,2.9360476,2024
2024-10,2.6913043,2024
2024-11,2.5055714,2024
2024-12,2.43605,2024
2025-01,2.5252273,2025
2025-02,2.40695,2025
2025-03,2.398381,2025
2025-04,2.1434,2025
2025-05,2.0805714,2025
2025-06,2.0809048,2025
2025-07,2.079087,2025
2025-08,2.1139048,2025
2025-09,2.1715,2025
2025-10,2.1873043,2025
2025-11,2.2169,2025
2025-12,2.2671429,2025
