year,Industries_luok,value
2003,"Agriculture, forestry and fishing",52
2003,Construction,473
2003,Hotels and restaurants,183
2003,Industry unknown,332
2003,"Manufacturing, mining and energy and water supply",388
2003,Other service activities,661
2003,Trade,495
2003,Transport and storage,185
2004,"Agriculture, forestry and fishing",46
2004,Construction,473
2004,Hotels and restaurants,190
2004,Industry unknown,230
2004,"Manufacturing, mining and energy and water supply",299
2004,Other service activities,599
2004,Trade,433
2004,Transport and storage,158
2005,"Agriculture, forestry and fishing",40
2005,Construction,450
2005,Hotels and restaurants,161
2005,Industry unknown,105
2005,"Manufacturing, mining and energy and water supply",293
2005,Other service activities,562
2005,Trade,477
2005,Transport and storage,190
2006,"Agriculture, forestry and fishing",31
2006,Construction,513
2006,Hotels and restaurants,161
2006,Industry unknown,61
2006,"Manufacturing, mining and energy and water supply",270
2006,Other service activities,610
2006,Trade,445
2006,Transport and storage,194
2007,"Agriculture, forestry and fishing",40
2007,Construction,537
2007,Hotels and restaurants,168
2007,Industry unknown,71
2007,"Manufacturing, mining and energy and water supply",245
2007,Other service activities,563
2007,Trade,447
2007,Transport and storage,183
2008,"Agriculture, forestry and fishing",46
2008,Construction,636
2008,Hotels and restaurants,187
2008,Industry unknown,100
2008,"Manufacturing, mining and energy and water supply",292
2008,Other service activities,678
2008,Trade,475
2008,Transport and storage,201
2009,"Agriculture, forestry and fishing",52
2009,Construction,754
2009,Hotels and restaurants,183
2009,Industry unknown,300
2009,"Manufacturing, mining and energy and water supply",375
2009,Other service activities,775
2009,Trade,570
2009,Transport and storage,266
2010,"Agriculture, forestry and fishing",55
2010,Construction,739
2010,Hotels and restaurants,212
2010,Industry unknown,97
2010,"Manufacturing, mining and energy and water supply",321
2010,Other service activities,692
2010,Trade,498
2010,Transport and storage,251
2011,"Agriculture, forestry and fishing",74
2011,Construction,763
2011,Hotels and restaurants,217
2011,Industry unknown,53
2011,"Manufacturing, mining and energy and water supply",300
2011,Other service activities,725
2011,Trade,550
2011,Transport and storage,266
2012,"Agriculture, forestry and fishing",70
2012,Construction,760
2012,Hotels and restaurants,190
2012,Industry unknown,37
2012,"Manufacturing, mining and energy and water supply",321
2012,Other service activities,812
2012,Trade,529
2012,Transport and storage,261
2013,"Agriculture, forestry and fishing",97
2013,Construction,705
2013,Hotels and restaurants,238
2013,Industry unknown,43
2013,"Manufacturing, mining and energy and water supply",346
2013,Other service activities,873
2013,Trade,577
2013,Transport and storage,252
2014,"Agriculture, forestry and fishing",61
2014,Construction,646
2014,Hotels and restaurants,216
2014,Industry unknown,37
2014,"Manufacturing, mining and energy and water supply",317
2014,Other service activities,855
2014,Trade,612
2014,Transport and storage,242
2015,"Agriculture, forestry and fishing",67
2015,Construction,522
2015,Hotels and restaurants,201
2015,Industry unknown,45
2015,"Manufacturing, mining and energy and water supply",273
2015,Other service activities,757
2015,Trade,521
2015,Transport and storage,188
2016,"Agriculture, forestry and fishing",61
2016,Construction,476
2016,Hotels and restaurants,216
2016,Industry unknown,47
2016,"Manufacturing, mining and energy and water supply",239
2016,Other service activities,695
2016,Trade,485
2016,Transport and storage,189
2017,"Agriculture, forestry and fishing",46
2017,Construction,470
2017,Hotels and restaurants,200
2017,Industry unknown,27
2017,"Manufacturing, mining and energy and water supply",224
2017,Other service activities,623
2017,Trade,433
2017,Transport and storage,145
2018,"Agriculture, forestry and fishing",58
2018,Construction,478
2018,Hotels and restaurants,258
2018,Industry unknown,41
2018,"Manufacturing, mining and energy and water supply",224
2018,Other service activities,786
2018,Trade,496
2018,Transport and storage,205
2019,"Agriculture, forestry and fishing",74
2019,Construction,520
2019,Hotels and restaurants,273
2019,Industry unknown,23
2019,"Manufacturing, mining and energy and water supply",240
2019,Other service activities,830
2019,Trade,468
2019,Transport and storage,195
2020,"Agriculture, forestry and fishing",62
2020,Construction,417
2020,Hotels and restaurants,217
2020,Industry unknown,15
2020,"Manufacturing, mining and energy and water supply",195
2020,Other service activities,700
2020,Trade,390
2020,Transport and storage,139
2021,"Agriculture, forestry and fishing",96
2021,Construction,552
2021,Hotels and restaurants,224
2021,Industry unknown,12
2021,"Manufacturing, mining and energy and water supply",222
2021,Other service activities,758
2021,Trade,415
2021,Transport and storage,193
2022,"Agriculture, forestry and fishing",68
2022,Construction,564
2022,Hotels and restaurants,260
2022,Industry unknown,20
2022,"Manufacturing, mining and energy and water supply",234
2022,Other service activities,863
2022,Trade,447
2022,Transport and storage,198
2023,"Agriculture, forestry and fishing",75
2023,Construction,782
2023,Hotels and restaurants,345
2023,Industry unknown,16
2023,"Manufacturing, mining and energy and water supply",253
2023,Other service activities,1069
2023,Trade,546
2023,Transport and storage,229
2024,"Agriculture, forestry and fishing",94
2024,Construction,747
2024,Hotels and restaurants,356
2024,Industry unknown,13
2024,"Manufacturing, mining and energy and water supply",278
2024,Other service activities,1220
2024,Trade,546
2024,Transport and storage,234
2025,"Agriculture, forestry and fishing",112
2025,Construction,768
2025,Hotels and restaurants,408
2025,Industry unknown,39
2025,"Manufacturing, mining and energy and water supply",294
2025,Other service activities,1403
2025,Trade,591
2025,Transport and storage,291
